Date,Origin,Destiny,MinPrice,MaxPrice,MeanPrice
2/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13,14,13.5
3/1/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,12,13,12.5
3/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,13,14,13.5
4/1/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
4/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
5/1/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
5/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
6/1/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
6/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
9/1/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
9/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
10/1/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.5,12.5,12
10/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
11/1/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.5,12.5,12
11/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
12/1/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,11.5,12.5,12
12/1/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
13/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.5,11.5,11
13/01/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
16/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,10.5,11.5,11
16/01/2017,Zacatecas,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
17/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
17/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
18/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
18/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
19/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
19/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,9.5,10.5,10
20/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
20/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
23/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
23/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
24/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
24/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
25/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
25/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
26/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
26/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8
27/01/2017,Guanajuato,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,6.5,7.5,7
27/01/2017,Morelos,Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,7.5,8.5,8